                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3067,                  4.203,                 1.5302,                0.64098,                0.55534,                0.62268,                 0.2674,                 1.9906,                 1.4575,                 1.4132,               0.070153,              0.0033163,              0.0033163
                      1,                 1.9434,                 1.4925,                 1.2425,                0.66389,                0.63043,                0.66171,                0.28111,                 2.0275,                  1.321,                 1.3946,               0.040087,              0.0065838,              0.0065838
                      2,                 1.9592,                 1.5123,                 1.2379,                  0.718,                0.60885,                0.65723,                0.26345,                 2.0684,                 1.4651,                 1.4077,              0.0099554,              0.0097853,              0.0097853
                      3,                 2.0308,                 1.5267,                 1.2625,                0.71282,                0.54348,                 0.5934,                0.24249,                 2.0783,                 1.6126,                 1.4875,               0.009703,               0.009703,               0.009703
                      4,                 1.9884,                 1.4748,                 1.2678,                0.76408,                0.65217,                 0.7016,                0.29318,                 1.9603,                 1.3673,                 1.3973,               0.009703,               0.009703,               0.009703
                      5,                 1.9512,                 1.3668,                 1.2538,                0.79611,                0.69451,                0.74264,                0.31599,                 1.9577,                 1.2739,                  1.378,               0.009604,               0.009604,               0.009604
                      6,                 1.9291,                 1.3341,                  1.245,                0.71845,                0.66008,                0.68748,                0.30232,                   1.85,                 1.3456,                 1.3283,               0.009505,               0.009505,               0.009505
                      7,                 1.8853,                 1.2908,                 1.2284,                 0.7704,                 0.7029,                0.74431,                0.32756,                 1.8381,                 1.2179,                 1.3274,               0.009406,               0.009406,               0.009406
                      8,                 1.8633,                 1.2517,                 1.2197,                0.80459,                0.70795,                0.74018,                0.32769,                 1.8972,                  1.243,                 1.3378,               0.009307,               0.009307,               0.009307
                      9,                 1.8649,                 1.2331,                 1.2139,                0.78873,                0.75099,                0.76398,                0.33618,                 1.8688,                 1.1477,                 1.3292,               0.009208,               0.009208,               0.009208
                     10,                 1.8015,                 1.1724,                 1.1845,                0.79278,                0.74852,                0.79682,                0.37286,                 1.7701,                 1.1067,                 1.2806,               0.009109,               0.009109,               0.009109
                     11,                 1.8054,                 1.1619,                 1.1851,                0.80539,                0.73518,                0.79015,                0.37638,                 1.7738,                 1.1528,                 1.2732,                0.00901,                0.00901,                0.00901
                     12,                 1.7662,                  1.147,                 1.1651,                0.77813,                0.74308,                0.78277,                0.37427,                 1.7933,                 1.1472,                 1.2842,               0.008911,               0.008911,               0.008911
                     13,                 1.7658,                 1.1101,                 1.1707,                0.81318,                0.73913,                0.80635,                0.37991,                 1.7844,                 1.1083,                 1.2797,               0.008812,               0.008812,               0.008812
                     14,                 1.7491,                  1.123,                  1.175,                0.80762,                0.78819,                0.82575,                0.40095,                 1.8167,                 1.0253,                 1.3299,               0.008713,               0.008713,               0.008713
                     15,                 1.7316,                 1.0686,                 1.1518,                 0.8119,                0.80632,                0.85319,                0.41094,                 1.7136,                 1.0522,                 1.2367,               0.008614,               0.008614,               0.008614
                     16,                 1.6872,                 1.0505,                 1.1371,                0.83652,                0.82924,                0.87976,                0.41187,                 1.7511,                0.97998,                 1.2534,               0.008515,               0.008515,               0.008515
                     17,                 1.6798,                 1.0303,                  1.143,                0.84304,                0.82411,                0.85731,                 0.4176,                 1.6985,                0.96186,                 1.2464,               0.008416,               0.008416,               0.008416
                     18,                 1.6741,                  1.026,                 1.1358,                0.81949,                0.79447,                0.82803,                0.40478,                 1.7146,                 1.0091,                  1.257,               0.008317,               0.008317,               0.008317
                     19,                 1.6463,                 1.0089,                 1.1264,                0.85486,                0.81818,                0.86144,                0.43209,                 1.6548,                0.95635,                 1.2216,               0.008218,               0.008218,               0.008218
                     20,                 1.6377,                0.97621,                 1.1298,                0.87261,                0.86759,                0.88815,                0.44137,                 1.7284,                0.89789,                 1.2674,               0.008119,               0.008119,               0.008119
                     21,                 1.6245,                0.98042,                 1.1081,                0.84743,                0.83425,                0.87021,                0.43702,                 1.6554,                0.90968,                 1.2333,                0.00802,                0.00802,                0.00802
                     22,                 1.6095,                0.94539,                 1.1082,                0.86064,                0.85178,                0.87809,                 0.4505,                 1.6432,                 0.9116,                 1.2187,               0.007921,               0.007921,               0.007921
                     23,                 1.5773,                0.93049,                 1.0978,                0.86525,                0.81621,                0.87692,                0.45505,                 1.6843,                0.88235,                 1.2345,               0.007822,               0.007822,               0.007822
                     24,                 1.5754,                 0.9166,                 1.0992,                0.88208,                 0.8498,                0.89448,                0.46013,                 1.6414,                0.86964,                 1.2218,               0.007723,               0.007723,               0.007723
                     25,                 1.5507,                0.90903,                 1.0865,                0.85908,                0.84336,                0.88324,                0.46039,                 1.6215,                0.86639,                 1.2051,               0.007624,               0.007624,               0.007624
                     26,                 1.5422,                0.89682,                 1.0782,                0.85841,                0.82411,                0.89184,                0.45652,                  1.633,                0.87916,                    1.2,               0.007525,               0.007525,               0.007525
                     27,                 1.5337,                0.89012,                 1.0793,                0.89342,                0.86364,                0.92548,                0.49073,                 1.6155,                0.81361,                 1.1949,               0.007426,               0.007426,               0.007426
                     28,                  1.509,                0.85294,                 1.0673,                 0.8787,                0.86561,                0.91211,                0.50061,                 1.5534,                0.82114,                  1.176,               0.007327,               0.007327,               0.007327
                     29,                 1.4892,                0.85965,                 1.0625,                0.88391,                0.86957,                 0.9266,                 0.4944,                 1.6009,                0.84374,                 1.2001,               0.007228,               0.007228,               0.007228
                     30,                  1.493,                0.86062,                  1.066,                0.89741,                0.88933,                0.93735,                0.51118,                 1.5768,                0.79677,                 1.1643,               0.007129,               0.007129,               0.007129
                     31,                 1.4831,                0.84272,                 1.0618,                0.87087,                0.88142,                0.92157,                0.50472,                 1.5295,                0.80932,                 1.1634,                0.00703,                0.00703,                0.00703
                     32,                 1.4745,                0.83026,                 1.0657,                0.87394,                0.87685,                0.91789,                0.51694,                 1.5357,                0.79746,                 1.1496,               0.006931,               0.006931,               0.006931
                     33,                 1.4602,                0.83893,                  1.051,                0.88132,                0.88052,                 0.9235,                0.50584,                 1.5594,                0.78786,                 1.1667,               0.006832,               0.006832,               0.006832
                     34,                 1.4451,                0.81632,                 1.0533,                0.89256,                0.88658,                0.93244,                0.52245,                 1.4984,                0.77507,                 1.1407,               0.006733,               0.006733,               0.006733
                     35,                 1.4344,                0.81467,                 1.0427,                0.88669,                0.88142,                 0.9388,                 0.5435,                  1.479,                0.74349,                 1.1279,               0.006634,               0.006634,               0.006634
                     36,                 1.4324,                0.81884,                 1.0421,                0.90908,                 0.8694,                0.93426,                 0.5366,                 1.4485,                0.75627,                  1.118,               0.006535,               0.006535,               0.006535
